ID,Latitud,Longitud
P1717,37.548,-6.630
P4146,38.493,-4.723
P7746,39.698,-2.555
P7427,39.649,-5.481
P14202,41.645,1.770
P11135,40.949,-6.596
P11071,40.803,-1.242
P29,36.199,-5.506
P4153,38.487,-4.276
P8924,40.100,-2.600
P3667,38.235,-2.182
P19201,43.317,-8.815
P13668,41.606,-0.179
P18738,43.191,-4.493
P19207,43.329,-8.266
P12374,41.255,-1.276
P9755,40.435,-4.161
P13630,41.704,-2.718
P8798,39.999,-1.168
P5480,38.868,-1.697
P3744,38.349,-5.427
P449,36.881,-3.941
P18751,43.176,-3.603
P14888,41.865,1.459
P1102,37.200,-2.678
P4293,38.533,-4.020
P7435,39.645,-4.961
P91,36.450,-6.124
P12301,41.350,-6.133
P5901,39.069,-3.360
P2134,37.644,-2.467
P8732,40.099,-5.477
P9938,40.421,-1.729
P4963,38.800,-6.321
P16592,42.569,-3.286
P14853,41.990,-0.886
P17830,42.945,-4.908
P19538,43.435,-7.926
P16909,42.700,-6.204
P10757,40.769,-3.293
P16435,42.481,-1.933
P2772,37.885,-2.202
P16095,42.339,-0.859
P1190,37.285,-4.180
P10761,40.762,-3.029
P7579,39.689,-4.441
P1514,37.446,-5.057
P5702,39.047,-6.772
P16027,42.449,-5.458
P4138,38.497,-5.234
P3401,38.157,-2.886
P3896,38.383,-4.024
P4250,38.547,-6.767
P16401,42.537,-4.237
P17693,42.833,-1.979
P14663,41.979,-1.897
P18398,43.067,-3.196
P6590,39.350,-6.000
P16956,42.663,-3.010
P14209,41.613,2.236
P17596,42.872,-8.591
P15891,42.352,-2.618
P2721,37.949,-5.430
P8075,39.495,3.021
P470,36.849,-2.632
P16670,42.333,1.988
P5907,39.060,-2.974
P14820,42.065,-3.105
P2082,37.700,-5.748
P14403,41.988,-7.681
P14592,42.048,-6.673
P2912,37.907,-1.440
P17877,42.873,-1.704
P2126,37.659,-2.971
P12455,41.400,-5.933
P15521,42.275,-3.568
P3769,38.329,-3.834
P2652,37.819,-1.762
P10058,40.517,-3.237
P9225,40.169,-1.680
P594,36.981,-3.938
P14480,41.949,-2.504
P5629,38.925,-1.887
P5945,38.968,-0.532
P13831,41.672,-0.509
P13635,41.695,-2.384
P1670,37.440,-2.352
P11431,41.050,-5.934
P7351,39.517,-1.656
P12535,41.276,-0.608
P4387,38.597,-6.831
P14309,41.897,-2.440
P18057,42.928,-1.837
P5600,38.978,-3.749
P15285,42.240,-7.553
P3355,38.200,-5.809
P6570,39.343,-7.293
P9726,40.450,-6.066
P10943,40.708,-0.258
P11186,40.917,-3.221
P16399,42.539,-4.372
P2148,37.612,-1.585
P17309,42.775,-3.549
P17644,42.898,-5.318
P3850,38.396,-6.956
P15626,42.324,-8.501
P10440,40.700,-5.670
P4205,38.387,-0.961
P6538,39.046,1.604
P7048,39.475,-3.603
P1065,37.245,-4.997
P11301,40.997,-5.139
P64,36.350,-5.814
P677,37.027,-3.749
P13121,41.575,-3.594
P13933,41.845,-4.926
P1725,37.550,-6.126
P18315,43.066,-8.872
P14583,42.043,-7.279
P6160,39.199,-5.484
P11594,41.092,-4.607
P15112,42.193,-7.282
P1027,37.241,-7.380
P14946,42.149,-6.539
P1112,37.179,-2.052
P11076,40.789,-0.912
P4858,38.728,-3.758
P10754,40.773,-3.491
P135,36.550,-5.752
P11628,41.043,-2.353
P17768,42.906,-9.274
P1302,37.335,-4.179
P16067,42.406,-2.751
P791,37.032,-2.123
P16433,42.485,-2.069
P8738,40.096,-5.085
P11729,41.147,-5.203
P8567,40.049,-6.457
P14131,41.861,-2.979
P16627,42.492,-0.915
P4692,38.698,-5.296
P8000,39.842,-4.633
P17124,42.733,-3.959
P2204,37.750,-6.000
P3113,38.094,-4.857
P16056,42.424,-3.495
P13665,41.616,-0.379
P5550,38.996,-6.965
P18782,43.115,-1.482
P9213,40.196,-2.464
P14753,42.089,-7.616
P4049,38.395,-2.493
P5461,38.908,-2.916
P6487,39.266,-3.223
P5950,38.952,-0.211
P14468,41.969,-3.311
P555,36.999,-6.375
P7209,39.482,-2.048
P11604,41.082,-3.944
P17517,42.773,-1.710
P3084,38.098,-6.698
P1902,37.538,-2.284
P8896,40.139,-4.430
P5464,38.903,-2.724
P7868,39.780,-3.853
P15896,42.342,-2.280
P5876,39.095,-4.969
P19830,43.550,-6.138
P5559,38.999,-6.386
P11517,40.908,-0.240
P15181,42.152,-2.628
P4170,38.465,-3.192
P14104,41.894,-4.791
P14897,41.826,2.061
P9287,40.297,-6.787
P3019,38.001,-2.703
P3591,38.295,-7.019
P19033,43.278,-8.333
P14027,41.620,1.364
P2764,37.901,-2.708
P8953,40.029,-0.708
P15359,42.200,-2.558
P1964,37.650,-5.748
P7902,39.717,-1.643
P10178,40.591,-4.551
P2961,38.049,-6.381
P302,36.798,-5.315
P6532,39.158,-0.323
